category,maker_name,year,units_sold
3W,MALI ENTERPRISES PVT LTD,2022,133
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2022,173
3W,MANITA CITY MOTORS LLP,2022,854
3W,MANMOHAN KAUR,2022,39
3W,MARINE NAVAIDS & SOLAR AUTO PVT LTD,2022,14
3W,MARKUS,2022,2
2W,MARUTHISAN PVT LTD,2022,84
LMV,MERCEDES -BENZ AG,2022,60
LMV,MERCEDES-BENZ INDIA PVT LTD,2022,94
2W,MEW ELECTRICALS LIMITED,2022,3215
LMV,MG MOTOR INDIA PVT LTD,2022,3430
3W,MINI METRO,2022,362
2W,MINI METRO EV L.L.P,2022,1
3W,MINI METRO EV L.L.P,2022,10487
LMV,MINI METRO EV L.L.P,2022,1
2W,MIRAKLE 5 AUTOMOBILES PVT LTD,2022,18
3W,MLR AUTO LTD,2022,23
3W,MOHAN GENERAL TRADING COMPANY,2022,26
3W,MONDAL TRADING,2022,2
LMV,MOTOROYALE KINETIC PRIVATE LIMITED,2022,8
3W,MOTRAC MOTORS PVT LTD,2022,23
3W,MOVE STONE SERVICES PVT LTD,2022,825
3W,MULTI DIMENSIONAL SOLUTIONS,2022,10
3W,MVM MOTORS PRIVATE LIMITED,2022,1
3W,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,2022,1723
3W,NABH MOTORS PVT LTD,2022,12
3W,NAMAH INDUSTRIES PVT LTD,2022,4
3W,NBC ENGINEERING PVT LTD,2022,4
2W,NDS ECO MOTORS PVT LTD,2022,28
3W,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,2022,542
3W,NEELAM CYCLE,2022,8
3W,NEW ARCANA INDIA,2022,1331
3W,NEWTON INDIA INDUSTRIES PVT LTD,2022,9
3W,NGAGE WHEEL PVT LTD,2022,8
3W,NHD MOTORS,2022,289
3W,NIBE MOTORS PVT LTD,2022,19
3W,NIPUN SANYANTRA PVT LTD,2022,569
3W,NIRMAL UTILITY SERVICES PVT LTD,2022,77
2W,NISIKI TECHNOLOGIES PVT LTD,2022,167
LMV,NISSAN MOTOR INDIA PVT LTD,2022,3
3W,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,2022,1563
2W,NUMEROS MOTORS PVT LTD,2022,335
2W,ODYSSE ELECTRIC VEHICLES PVT LTD,2022,313
3W,OGATA MOTORS INDIA PVT LTD,2022,160
3W,OK PLAY INDIA LTD,2022,63
2W,OKAYA EV PVT LTD,2022,8913
2W,OKINAWA AUTOTECH PVT LTD,2022,103620
2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,2022,109398
MMV,OLECTRA GREENTECH LTD,2022,3
3W,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,2022,2930
3W,OM BALAJI AUTOMOBILES I P LTD,2022,16
3W,OM PACKAGING,2022,15
3W,OM RAJ AUTOTECH LLP,2022,1167
3W,OM. INDUSTRIES,2022,1
3W,OMEGA SALES & AGRO INDUSTRIES,2022,102
3W,OMEGA SEIKI PVT LTD,2022,2785
LMV,OMEGA SEIKI PVT LTD,2022,146
2W,OMJAY EV LIMITED,2022,172
2W,OTHERS,2022,15099
3W,OTHERS,2022,2165
LMV,OTHERS,2022,431
2W,OZOTEC AUTOMOBILE PRIVATE LIMITED,2022,93
3W,PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,2022,23
3W,PACE AGRO PRIVATE LIMITED,2022,46
3W,PANTHER ELECTRIC VEHICLES,2022,66
3W,PARAS INDUSTRIES,2022,1120
3W,PARI E-VEHICLES,2022,484
3W,PARI METRO E RICKSHAW,2022,706
3W,PARVEEN AUTO,2022,1
3W,PASHUPATI VEHICLES PVT LTD,2022,1
3W,PATS MOTOR CORP,2022,24
3W,PIAGGIO VEHICLES PVT LTD,2022,7431
LMV,PIAGGIO VEHICLES PVT LTD,2022,3
3W,PLAUDIT TECHNO INDIA PVT LTD,2022,34
3W,POOSHPAK AUTOMOBILES PVT LTD,2022,1
2W,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),2022,23
LMV,PORSCHE AG GERMANY,2022,60
3W,PRAAKARM AUTO & CONSTRUCTION EQUIPMENTS,2022,40
3W,PRABHA AUTOMOTIVE ENGINEERS PVT LTD,2022,6
3W,PRAG MOTORS,2022,47
3W,PRAKASH ENTERPRISES,2022,46
3W,PRIDE E-MOTORS,2022,321
3W,PUBANG ETRON ELECTRIC MOTOR PVT LTD,2022,120
3W,PUNEET OVERSEAS  INC,2022,15
2W,PUR ENERGY PVT LTD,2022,14953
3W,PURVA UDYOG PVT LTD,2022,35
3W,PYTHOX MOTORS PVT LTD,2022,125
2W,QUANTUM ENERGY LTD.,2022,25
3W,R3 ENTERPRISES,2022,170
3W,RACCOON MOTORS PVT LTD,2022,20
3W,RAHUL AGRO EXPORTS PVT LTD,2022,37
3W,RAJ AUTOMOTIVE,2022,101
3W,RAJESH STEEL AND WIRE INDUSTRIES,2022,30
3W,RAMON INDUSTRIES,2022,71
3W,RANA ENGINEER WORKS,2022,35
3W,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,2022,47
3W,RASIWASIA RASAYAN PVT LTD,2022,10
3W,RAYON ENGINEERS,2022,333
3W,RCJ AUTO FORGE PVT LTD,2022,281
3W,RD AND CO,2022,9
3W,REEP INDUSTRIES PVT LTD,2022,188
LMV,REEP INDUSTRIES PVT LTD,2022,1
3W,REFLEX CONTROL SYSTEM PVT .LTD,2022,63
3W,REPUBLIC MOTORS,2022,119
2W,REVOLT INTELLICORP PVT LTD,2022,14910
2W,RGM BUSINESS PLUS PVT LTD,2022,1564
3W,RIBAND ELECTRIC PVT LTD,2022,200
3W,RIYA ENTERPRISE,2022,31
3W,ROARLEO MOTOR PVT LTD,2022,136
2W,ROWWET MOBILITY PVT LTD,2022,143
3W,RSD SECURITY SOLUTIONS PVT LTD,2022,1
3W,RUTBA PRODUCT PVT LTD,2022,518
3W,S AND J INDUSTRIES,2022,189
3W,S S GLOBAL,2022,11
3W,SAERA ELECTRIC AUTO PVT LTD,2022,19314
3W,SAGAR FABRICATIONS,2022,16
3W,SAHNIANAND E VEHICLES PVT LTD,2022,1133
3W,SAINIK CYCLE MART,2022,142
3W,SAKSHAM TECH AUTOMOBILES,2022,241
3W,SAKSHAM TRADING COMPANY,2022,17
3W,SAMRAT ELECTRIC VEHICLE,2022,353
3W,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,2022,1310
3W,SAURYAA SHARYO CORPORATION,2022,1
2W,SBTEK E MOTO PVT LTD,2022,19
3W,SCOOTERS INDIA LTD,2022,5
3W,SEALION AUTOMOBILE PVT LTD,2022,36
3W,SEN AND PANDIT VOLTAGE CONTROL PVT LTD,2022,55
3W,SETH INDUSTRIAL CORPORATION,2022,401
3W,SF2 E VEHICLE PVT LTD,2022,16
3W,SGLLINE MOTORS PVT LTD,2022,60
3W,SHAKTI AUTO GREEN,2022,415
3W,SHALYA AUTO SALES PVT LTD,2022,213
3W,SHIGAN EVOLTZ LTD,2022,853
3W,SHINE METAL UDYOG PVT LTD (UNIT- II),2022,5
3W,SHINME ELECTRICAL VEHICLE PVT LTD,2022,91
3W,SHIV OM INDIA,2022,69
3W,SHREE MARUTI NANDAN BUSINESSS (P) LTD,2022,181
3W,SHREYA ENGINEERS,2022,13
2W,SHRI BARSANA E-VEHICLES PVT LTD,2022,1
3W,SHRI BARSANA E-VEHICLES PVT LTD,2022,1554
LMV,SHRI BARSANA E-VEHICLES PVT LTD,2022,1
3W,SHRI NAMO ELECTRIC AUTOMOTIVE,2022,264
3W,SHRI RAM AUTO TECH PVT LTD,2022,4
3W,SHRI SHIVSHANKAR ENTERPRISES,2022,8
3W,SHRIRAJ ELECTRIC VEHICLES,2022,2003
3W,SINGHAL ENTERPRISES,2022,38
3W,SIRF INDIA VEHICLES PVT LTD,2022,5
3W,SIWACH STEEL PVT LTD,2022,98
3W,SIX SENSES AUTOMOTIVE PVT LTD,2022,4
3W,SKS AUTOMOBILES (I) PVT LTD,2022,5
3W,SKS TRADE INDIA PVT LTD,2022,6308
3W,SKYRIDE AUTOMOTIVE,2022,90
3W,SMART ELECTRO MOTORS,2022,48
3W,SN SOLAR ENERGY,2022,23
3W,SONI E VEHICLE PVT LTD,2022,173
3W,SPEED AUTO TECH,2022,8
3W,SPEEDWAYS ELECTRIC,2022,1
3W,SPEEGO VEHICLES CO PVT LTD,2022,3734
3W,SPEEGO VEHICLES PVT. LTD,2022,131
3W,SRD RENEWABLES,2022,1222
2W,SRIVARU MOTORS PVT LTD,2022,60
3W,SSB INDISTRIES,2022,1746
3W,SSEV ENTERPRISES PRIVATE LIMITED,2022,340
3W,SSV TECHNOLOGIES,2022,2
3W,STAR BULL E MOTORS,2022,2217
3W,STAR IGLOBAL AUTOMOTIVE PVT LTD,2022,211
3W,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,2022,11
3W,SUGANJI RARA ELECTRIC VEHICLE PVT LTD,2022,4
3W,SUMFONL AUTO TRADERS PVT LTD,2022,77
3W,SUNULTRA POWER SOLUTIONS PVT LTD,2022,82
3W,SUPER METRO INDUSTRIES,2022,1006
2W,SUPERECO AUTOMOTIVE CO,2022,14
3W,SUPERECO AUTOMOTIVE CO,2022,55
3W,SUPERTECH EV LIMITED,2022,1038
3W,SUPREME SMART POWER PVT LTD,2022,244
2W,SUZUKI MOTORCYCLE INDIA PVT LTD,2022,9
3W,SWARNCHAKRA AUTOMOBILES PVT LTD,2022,7
LMV,SWITCH MOBILITY AUTOMOTIVE LTD,2022,1
3W,SYNDICATE AUTO COMPONENTS,2022,227
3W,T U K INDUSTRIES,2022,1240
3W,TAO POWER PRIVATE LIMITED,2022,6
LMV,TATA MOTORS LTD,2022,1621
MMV,TATA MOTORS LTD,2022,15
LMV,TATA MOTORS PASSENGER VEHICLES LTD,2022,30610
3W,TAURUS ELECTRIC VEHICLES,2022,234
3W,TEJASGREEN AUTOMOTIVE PVT LTD,2022,42
3W,TERRA MOTORS INDIA PVT LTD,2022,7876
3W,THE COMMERCIAL MOTORS LIMITED,2022,79
2W,THUKRAL ELECTRIC BIKES PVT LTD,2022,1
3W,THUKRAL ELECTRIC BIKES PVT LTD,2022,5915
3W,TI CLEAN MOBILITY PVT LTD,2022,1
3W,TOP TEAM MACHINES PVT LTD,2022,1382
2W,TORK MOTORS PVT LTD,2022,319
LMV,TOYOTA KIRLOSKAR MOTOR PVT LTD,2022,1
3W,TRINITY ELECTRIC VEHICLES PVT LTD,2022,9
3W,TRISHIKA INDUSTRIES,2022,1355
3W,TSM ENGINEERING PVT LTD,2022,7
3W,TSR TRADE COM,2022,29
3W,TUFAN MOTORS PVT LTD,2022,391
2W,TUNWAL E MOTORS PVT LTD,2022,58
2W,TVS MOTOR COMPANY LTD,2022,47182
3W,TVS MOTOR COMPANY LTD,2022,5
3W,TWASHTRE AUTOMOTIVE PVT LTD,2022,6
3W,TWINKLE TRADCOM PVT LTD,2022,476
3W,TWO FRIENDS AUTO ELECTRIC CO,2022,2724
2W,TYST DRIVE INDIA PVT LTD,2022,40
3W,U P TELELINKS LTD,2022,15
3W,U.P. TELELINKS LIMITED,2022,1978
LMV,U.P. TELELINKS LIMITED,2022,1
3W,UMA  AUTO INDUSTRIES PVT. LTD,2022,34
3W,UMA MOTORS,2022,191
3W,UNIQUE ENTERPRISES,2022,1671
3W,UNIQUE INTERNATIONAL,2022,10246
LMV,UNIQUE INTERNATIONAL,2022,3
3W,UNITED TRANSMOVERS PVT LTD,2022,321
3W,URWASHI ENTERPRISES,2022,156
3W,V.T. ENGINEERING,2022,59
3W,V.V.A.AUTO INDUSTRIES PVT.LTD,2022,72
3W,VAHAK FUTURE SOLUTIONS LLP,2022,17
3W,VANI ELECTRIC VEHICLES PVT LTD,2022,5969
MMV,VE COMMERCIAL VEHICLES LTD,2022,7
3W,VEANCO AUTOMOTIVES PVT LTD,2022,6
3W,VEECTERO E VEHICLES LLP,2022,132
3W,VENUS AUTO WHEELS PVT LTD,2022,398
3W,VICTORIA E VEHICLES PVT. LTD,2022,10
3W,VICTORY ELECTRIC INTERNATIONAL,2022,2135
3W,VIJAYA ELECTRIC AUTO PVT LTD,2022,193
3W,VIJAYS COOLMAX PRIVATE LIMITED,2022,1355
3W,VIJAYSHREE AUTOCOM LIMITED,2022,248
3W,VIMAL UNIVERSAL TRADE PVT LTD,2022,407
3W,VINCI INDUSTRIAL CORPORATION,2022,9
3W,VISHAL ENTERPRISES,2022,140
3W,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,2022,1
3W,VISHWAKARMA GNG INDUSTRY,2022,6
3W,VISHWARUP ENTERPRISE,2022,2
3W,VITAN JAGADA AUTOMOBILE PVT LTD,2022,2
LMV,VOLVO AUTO INDIA PVT LTD,2022,35
3W,VRINDA ENTERPRISES,2022,446
3W,VSL INDUSTRIES,2022,7
2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,2022,314
3W,WASAN E-MOBILITY SOLUTIONS PVT LTD,2022,13
3W,WELKIN HEALTHCARE PVT LTD,2022,114
2W,WHITE CARBON MOTORS PVT LTD,2022,82
3W,WOX COOLERS PVT LTD,2022,1
2W,WUXI DONGMA (IMPORTER: DYNAM PRECISION),2022,6
2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),2022,2
2W,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),2022,12
2W,WUXI SAIGE (IMPORTER: WARIVO MOTOR),2022,1
2W,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),2022,4
2W,WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),2022,6
2W,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),2022,15
3W,XXPLORE AUTOMATIVE PVT LTD,2022,12
3W,XXPLORE AUTOMOTIVE PVT. LIMITED,2022,15
3W,YAARI AUTOMOBILES PVT LTD,2022,1
2W,YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),2022,25
2W,YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),2022,1
2W,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),2022,13
3W,YC ELECTRIC VEHICLE,2022,29793
LMV,YC ELECTRIC VEHICLE,2022,1
3W,YUVRAJ INTERNATIONAL,2022,5
2W,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),2022,35
3W,ZENIAK INNOVATION INDIA LTD,2022,1561
LMV,ZENIAK INNOVATION INDIA LTD,2022,1
3W,ZENTHIUM EV PVT LTD,2022,223
3W,ZEOPLUS AXIS INDIA PVT. LTD.,2022,382
3W,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,2022,3
3W,ZESAR MOTORS PVT LTD,2022,23
2W,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),2022,21
3W,ZOHAN TRADERS AND BIG METRO,2022,5
3W,3EV INDUSTRIES PVT LTD,2023,545
3W,3S INDUSTRIES PRIVATE LIMITED,2023,266
3W,A K AUTTO ELECTRICAL,2023,2
3W,A K GUPTA & CO.,2023,563
3W,A P I MOTORS PVT LTD,2023,279
3W,A.V.AUTOMOTIVES PVT LTD,2023,1309
3W,AADHYA ENTERPRISES,2023,797
3W,AADITYA GARBAGE PRODUCTS PVT LTD,2023,34
3W,AAHANA COMMERCE PVT LTD,2023,918
3W,AARGEE ELECTRIC,2023,18
2W,ABZO MOTORS PVT LTD,2023,12
3W,ACCRETION POWER AUTOS,2023,598
3W,ADAPT MOTORS PVT LTD,2023,4
3W,ADIDEV TECHNOA PVT LTD,2023,689
3W,ADITYA ENTERPRISES,2023,1
3W,ADITYA SAI INDUSTRIES,2023,179
3W,ADM TECHNOLOGIES PVT. LTD.,2023,129
2W,ADRIS ELECTRIC PVT LTD,2023,61
2W,AFTEK MOTORS INDIA PVT LTD,2023,138
3W,AJAY MOTORS PRIVATE LIMITED,2023,190
3W,AKG INTERNATIONAL,2023,138
3W,ALBEDO VISION PVT LTD,2023,39
MMV,ALL TERRAIN CRANE,2023,5
3W,ALLENTTI MOTORS PVT LTD,2023,59
3W,ALLFINE INDUSTRIES PVT LTD,2023,10743
LMV,ALLFINE INDUSTRIES PVT LTD,2023,8
3W,ALTIER ELECTRIC VEHICLES PVT LTD,2023,2517
LMV,ALTIER ELECTRIC VEHICLES PVT LTD,2023,1
3W,ALTIGREEN PROPULSION LABS PVT LTD,2023,2512
LMV,ALTIGREEN PROPULSION LABS PVT LTD,2023,7
2W,ALTIUS EV TECH PVT LTD,2023,37
3W,ALTIUS TECHNOLOGIES,2023,13
3W,AMAN AUTOMOBILES,2023,14
3W,AMAN ELECTRIC VEHICLES,2023,162
3W,AMBIKA ENTERPRISES,2023,145
3W,AMBIKA INDUSTRIES,2023,1910
2W,AMO MOBILITY SOLUTIONS PVT LTD,2023,1574
2W,AMPERE VEHICLES PRIVATE LIMITED,2023,42903
2W,AMPERE VEHICLES PVT LTD,2023,8
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2023,51
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2023,8
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2023,61
2W,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),2023,1
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2023,13
3W,ANJALI AUTO COMPONENTS,2023,61
3W,ANJALI TRADERS,2023,74
3W,ANKUSH AUTO DEALS,2023,5
3W,APARNA INDUSTRIES,2023,87
3W,APM AUTO SALES,2023,778
3W,APSARA ENTERPRISE,2023,725
3W,ARCHIT ENTERPRISES,2023,1077
3W,ARD EXIM,2023,61
3W,ARNA ELECTRIC AUTO PVT LTD,2023,590
3W,ARROW AUTOMOTIVE,2023,3958
3W,ASHA IMPEX,2023,86
3W,ASHLESHA POWER CONTROLS PVT LTD,2023,6
3W,ASHMA-MOTORS PVT LTD,2023,294
2W,ATHER ENERGY PVT LTD,2023,104735
2W,ATOMEX E-MOTORS INDIA PVT LTD,2023,1
3W,ATTOLENT AUTO GROUP PVT LTD,2023,760
3W,ATUL AUTO LTD,2023,5502
LMV,ATUL AUTO LTD,2023,5
3W,ATUL GREENTECH PRIVATE LIMITED,2023,127
2W,ATUMOBILE PVT LTD,2023,105
3W,ATUT SANGAM,2023,2335
LMV,AUDI AG,2023,143
3W,AUTOECO GREEN ENERGY PVT LTD,2023,578
3W,AUTOHAUS PRIVATE LIMITED,2023,103
3W,AUTOLITE (INDIA) LIMITED,2023,11
3W,AVL ELECTRIC VEHICLES PVT LTD,2023,2632
3W,AVON CYCLE LTD INDIA,2023,10
3W,AVON CYCLES LTD,2023,784
2W,AYAAN ELECTRONIC PVT LTD,2023,112
3W,B24 ROKET EV,2023,28
3W,BABA E-VEHICLES,2023,1363
3W,BAGHWAN RIKSHAW UDYOG,2023,40
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2023,4
2W,BAJAJ AUTO LTD,2023,71940
3W,BAJAJ AUTO LTD,2023,4574
3W,BAJAJ IMPLEMENTS PVT. LTD,2023,947
3W,BAL GOPAL WHEELS PVT LTD,2023,105
3W,BALAJI TRADING COMPANY,2023,7
3W,BALAN ENGINEERING PVT LTD,2023,146
3W,BALI AUTO INDUSTRIES,2023,274
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2023,4139
3W,BAXY LTD,2023,271
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2023,3005
3W,BENTINCK INDUSTRIES PVT. LTD.,2023,382
3W,BEST WAY AGENCIES PVT LTD,2023,7902
3W,BESTWAY AGENCIES PVT LTD,2023,33
3W,BESTWAY BANARASH,2023,12
2W,BGAUSS AUTO PRIVATE LIMITED,2023,11454
3W,BHADAURIA ENTERPRISES,2023,106
3W,BHARAT MANUFACTURING & ASSEMBLING E RIKSHA,2023,2
3W,BHAVE ELECTRIC VEHICLES PVT LTD,2023,2682
3W,BHM INDUSTRIES,2023,1814
3W,BIG BULL TRADER PVT LTD,2023,673
3W,BIJNOR ENTERPRISES,2023,72
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,2023,65
LMV,BMW INDIA PVT LTD,2023,1309
2W,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,2023,207
2W,BOUNCE ELECTRIC 1 PVT LTD,2023,3565
3W,BRIGHT AUTOZONE PVT LTD,2023,3695
3W,BRIGHT METAL WORKS,2023,31
LMV,BYD INDIA PRIVATE LIMITED,2023,2012
3W,C M OVERSEAS,2023,50
3W,CARREE YUNUS VEHICLE PVT LTD,2023,3
3W,CART INDIA,2023,109
3W,CEEON INDIA,2023,874
3W,CHAMPION POLY PLAST,2023,14877
2W,CHANDANA CORPORATION,2023,501
3W,CHARUVIKRAM AUTOMOBILE PVT LTD,2023,6
3W,CHAUHAN AUTO INDUSTRIES,2023,571
3W,CHEHAK BATTERIES,2023,290
2W,CHETAK TECHNOLOGY LIMITED,2023,4851
2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),2023,135
3W,CITADEL ENTERPRISES(OPC) PVT LTD,2023,28
3W,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,2023,930
3W,CONTINENTAL ENGINES PVT LTD,2023,2749
3W,CYRUS AUTO INDUSTRIES PVT LTD,2023,96
3W,D S INDUSTRIES,2023,32
3W,DAKSH INDUSTRIES,2023,5925
2W,DAO EVTECH PRIVATE LIMITED,2023,283
3W,DASHMESH TRADERS,2023,122
3W,DAVE EXIM PVT LTD,2023,311
3W,DD AUTO PVT LTD,2023,2
3W,DE EUSI MOTORS PVT LTD.,2023,1563
3W,DEEP DRAWN TECHNOLOGIES,2023,12
3W,DELTA AUTOCORP LLP,2023,2466
3W,DELTEK ENTERPRISES PVT LTD,2023,8
3W,DEVAM ELECTRIC VEHICLES PVT LTD,2023,12
3W,DHAR IN PVT LTD,2023,29
3W,DHAR INTERNATIONAL,2023,34
3W,DIAMOND E VEHICLES,2023,604
3W,DILLI ELECTRIC AUTO PVT LTD,2023,25071
LMV,DILLI ELECTRIC AUTO PVT LTD,2023,5
3W,DIVANSU AUTOMOBILES LTD,2023,145
3W,DIVYA ENTERPRISES,2023,1026
2W,DONGMA VEHICLE (IMPORTER: MERCURY METALS),2023,11
3W,DSF INDUSTRIES PVT LTD,2023,26
3W,DSR EV MOBILITY PVT LTD,2023,3
3W,DUKE AUTO INDIA,2023,934
2W,DURGA FILTERS PVT LTD,2023,2
3W,DYS IMPEX PRIVATE LIMITED,2023,751
2W,E ROYCE MOTORS INDIA PVT LTD,2023,5
3W,E ROYCE MOTORS INDIA PVT LTD,2023,1296
3W,E-ASHWA AUTOMOTIVE PVT LTD,2023,240
3W,EBUZZ MOBILITY LLP,2023,17
3W,ECO DYNAAMIC EQUIPMENTS,2023,74
2W,ECO FUEL SYSTEMS (I) PVT LTD,2023,595
3W,ECO SMART VEHICLES PVT LTD,2023,1245
3W,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,2023,1
3W,ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,2023,7
3W,EDMRC MANNSCHAFT LLP,2023,89
3W,EEVEE ENGINEERING PVT LTD,2023,1
3W,EFEV CHARGING SOLUTION PVT LTD,2023,526
3W,E-GURU AUTO ENERGY,2023,125
3W,ELECTRA INTERNATIONAL,2023,7
2W,ELECTRECA VEHICLES,2023,72
2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),2023,43
3W,ELECTROTECH TRANSMISSION PVT LTD,2023,1
3W,ELECTROTHERM (INDIA) LIMITED,2023,4
3W,ELEPHANTA INDUSTRIES PVT LTD,2023,11
3W,ELITE AUTO ENGINEERS PVT LTD,2023,1200
2W,ELTHOR ENERGY PRIVATE LIMITED,2023,230
3W,E-MOTION AUTOMOTIVE INDUSTRY LLP,2023,470
3W,ENERGY ELECTRIC VEHICLES,2023,11080
3W,ENGINIA VEHICLES PVT LTD,2023,188
2W,ENGTIAN ELECTRIC BIKE PVT LTD,2023,472
2W,ENIGMA AUTOMOBILES PVT LTD,2023,2
3W,ENTICE IMPEX PVT LTD,2023,587
3W,EPOWER VEHICLES PVT LTD,2023,31
3W,ERISHA E MOBILITY PVT LTD,2023,55
LMV,ERISHA E MOBILITY PVT LTD,2023,1
LMV,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),2023,5
2W,E-SPRINTO GREEN ENERGY PVT LTD,2023,116
3W,ETRIO AUTOMOBILES PVT LTD,2023,80
LMV,ETRIO AUTOMOBILES PVT LTD,2023,4
3W,EULER MOTORS PVT LTD,2023,2595
LMV,EULER MOTORS PVT LTD,2023,3
LMV,EVAGE AUTOMOTIVE PVT LTD,2023,44
3W,EVBHARAT RANGE PRIVATE LIMITED,2023,31
3W,EVCO AUTOMOBILES PVT LTD,2023,14
3W,EVERVE MOTORS PVT LTD,2023,1
3W,EVEX AUTO INDIA PVT LTD,2023,166
2W,EVTRIC MOTORS PVT LTD,2023,540
2W,EXERVAL PVT LTD,2023,83
3W,EXIDE INDUSTRIES LTD,2023,2379
3W,EXTRA FAST SOLUTIONS,2023,614
3W,EXTREME MOTORS,2023,218
3W,FEDE INDUSTRIES PVT LTD,2023,900
2W,FIADO INDUSTRIES PVT LTD,2023,106
3W,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,2023,546
3W,FITWEL MOBILITY PVT LTD,2023,17
3W,FIVE ELEMENTS,2023,119
2W,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),2023,57
2W,FUJIYAMA POWER INFRA PVT. LTD.,2023,16
3W,G & G AUTOMOTIVE,2023,1430
3W,G. M. VEHICLE INDUSTRIES,2023,3
3W,G.K E-VEHICLS INDUSTRIES PVT LTD,2023,74
3W,G.K. RICKSHAW,2023,5514
3W,GAGAN AUTOMOTIVES,2023,383
LMV,GAIA INTERNATIONAL (IMPORTER: NEW ENERGY WAGON),2023,1
3W,GALVANIC AUTO PVT LTD,2023,188
3W,GAURI AUTO INDIA PVT. LTD,2023,1
3W,GAYATRI ELECTRIC VEHICLES,2023,2950
3W,GILL AGROTECH,2023,1
3W,GKON ELECTRIC MOTOR VEHICLES PVT LTD,2023,711
2W,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,2023,11
3W,GOBIND INDUSTRIES PVT LTD,2023,5
2W,GODAWARI ELECTRIC MOTORS PVT LTD,2023,128
3W,GODAWARI ELECTRIC MOTORS PVT LTD,2023,145
3W,GODAWARI TECHNO SOLUTIONS PVT LTD,2023,74
LMV,GODREJ AND BOYCE MFG CO LTD,2023,2
3W,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,2023,462
2W,GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),2023,71
2W,GOGORO INDIA PVT LTD,2023,18
3W,GOLD HOFER,2023,1
2W,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),2023,1
3W,GOPAL AUTO MOTORS PVT LTD,2023,1494
2W,GOREEN E-MOBILITY PVT LTD,2023,3040
3W,GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,2023,136
3W,GRD MOTORS,2023,3411
2W,GREAVES ELECTRIC MOBILITY PVT LTD,2023,24045
3W,GREEN EVOLVE PVT LTD,2023,42
3W,GREEN IMPEX,2023,442
3W,GREEN SHUTTLE TECHNOLOGY PVT LTD,2023,28
3W,GREEN STAR MOTORS,2023,345
3W,GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,2023,46
3W,GREEN TECHNOLOGIES,2023,221
3W,GREEN VALLEY MOTORS,2023,11
3W,GREEN WAY ECO RIDE,2023,3
3W,GREENETICS INDUSTRIES PVT LTD,2023,116
3W,GREENFIT INDUSTRIES LLP,2023,4
